Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Shefa,"Brazilian producer of shelf-stable milk and juice products, including one line of soy milks.",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,Soy,Latin America,Brazil,Sao Paulo,Amparo,https://www.shefa.com.br/,1976,,shefa.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ktwTM8EPbHeqPG_hF8O7xQ/S64JfPrsEK7pP1Xa23h3sv_r9pkgSMuAFonBgBJNnyQfMaKXbvgYpYBOLun4UP-Q0y7sa4fBOxIqK-pTFRzN0FNJsiUIbRX1ENFajt0aa8XL9kVCyXNbLeANUvohZ69DxWxDJYVPx781fICM3TioGg/i8RUpxLrdZimcVNasUOUY1F-0x9MHuORAgWTZBl4v8U)
Yourganic,"Indonesian company with a focus on RTD products, plus almond milk.",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,Almond,Asia Pacific,Indonesia,,Jakarta,https://yourganicindonesia.com/,2021,,yourganic.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/EBZExIfdVaMoCuW77mEUzA/leSr8opdlmE9dSpnlEcmubW4B2MGY0JUPjY5CY7-5jkb1XMFTVSQKIgcwBYfDSx0Jn70a8RennRiV9bSR3XT8oSROcFEoYfj7PdpvM3mancGm7ZDzN_eqX0bLeBoYH3Cg-lVtdYWSNlnl0VvA9JM9Q/FT_5RUZaA_d0Y9hCbifnrVSS_wcO7nGF6gAVhdqLiwo)
"CGM
  Natural Frozen Food","Italy-based company that produces a variety of food products, including a veggie burger ",Plant-based,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,,,Europe,Italy,,Pollenza,http://www.cgmsurgelati.it/,1986,,logo-cgm-surgelati.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/pTKNUuTg6nOpb_jE7eqqbg/lYh465zuMQbYlcYr8Iq5Mvv98slcnfzqfMHGv7alVaqvMDN-RxuJ1xwjNFLWBh0TdZiMp7BXNO3DzEFADtaHowulrcT1dhn0EBsKgKnf7DAv9GFLvaRSIgqasJK18v3rVLQHlB1Fk_tZF-_8IkcsH4VZt5xf8bPajSxoWO_f8AE/AIFPS6qK0Vuvzg8KzSV1nthXhZsv85gqaldT0_Yl3xI)
Callowfit,"Netherlands-based company that makes various vegan sauces and dressing, including mayo and ceasar dressing. ",Plant-based,Other,Diversified,End product formulation and manufacturing,Other,,,Europe,Netherlands,,Deurne,https://www.callowfit.com/en,2017,,Calllowfit.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/b8q_W8xbgomAfnRH3oQ9sg/zbR8B1mSmJjjYQPpxAz3DQcmiFp3TiM6mWZ4V6mX7-0OGT_3P3FEZBprHJk3qJvMb9gldSpd1ljjHL66XPkbQgzPOh6zlT6SumloDjHMFbWxZ3-sedX--gxdZVe5DCBacZX3nZOtwbhSBnkZ0szYZg/AYWHY62dHnLothnlopVP0YfKSB1bI9DJwewRA8Kgizg)
Soy,"France-based producer of plant-based foodstuffs, including soy-based meats and soy and rice milks.",Plant-based,"Meat,Dairy",Diversified,End product formulation and manufacturing,Other meat/seafood,,Soy,Europe,France,Haute-Garonne,Revel,https://www.soy.fr/,1970,Bernard Storup,Soy-france.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Ba1pZyNP9dppc0WE3mxSmw/2Djh1JCN9y_lVYKty5B-vq6l5JwpZHJ9S3aZfvSUWig-em8T2h_Lcjuj18L0lQly_M1hKnW17fjkB9yshtMK6YxW6LyfNfEmsbVxY9SOk5HyJiF29S2QITrWx67Ug2g6ODVxq0gCpzNM1vix1jP_UA/A4n3slkF5r_cdWixr_IOeZDeebXlmO6hYVSXfcV2-Hw)
Lima,"Belgian producer of healthier versions of common foods, including vegan milk, proteins, and snacks.",Plant-based,"Dairy,Meat,Other",Diversified,End product formulation and manufacturing,"Milk,Ground meat/seafood",Beef/veal,"Soy,Rice,Oat",Europe,Belgium,,Aalter,https://www.limafood.com/,1957,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/wpQejQfVM-2uuBTHoQ5oag/gHqcazNHNKjUE12eL4Wz7mTdMbQdwjnGaOqmetluNpMQqpEv93uIvr5T8hJtk1LpYsyKlLwY9l6MS5KjTvRCN-Hkgt9WvnSlr9RoeU2VEqLPs-fqsf6OFjvIPaUQLh4a8_7qU49fqJvLbeOIQD-3Yg/dUrbw9dLcAtd7HaMoqyMWJiQEAKLODYWLeFUOQ7cvbo)
Bjorg,French producer of a variety of foods including plant-based dairy products,Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Almond,Soy",Europe,France,Rhône,St Genis Laval,https://www.bjorg.fr/en/,1988,,logo-bjorg.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/xkyk1RSWs2LTh8chjVf2Qw/n8s9rsA1AWCO_sdaly9s9JGrc2ggYA32S4ddMEG5avW_ONh-q__JaSapEXIizN7DPw_iUNJxCwwHzjbdMHk-bpjb7MkXG1idK_4zCSkYhCKjgOnTOPiyk9UVnLHylBNU6DvyMv-YDwdJHjCoGktuTw/K84VSdkCnB1IHZ7Mr8m0D8PcF9-n9O1ny_MUpnqYblk)
Batavo,Brazilian dairy company with several soy-based products.,Plant-based,Dairy,Diversified,End product formulation and manufacturing,"Milk,Other dairy",,Soy,Latin America,Brazil,Paraná,Carambeí,http://www.batavo.com.br/,1928,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/qARKnJ2pUAbEWUNuRgqZvg/xCrIBS2gpF9Znq8yeiRWrQ4z8DlpQBFVVtK9-cf8PcUw1oQeYmhjmXZ8e3nE88S9VRmhgM_jk7sAjFJH1-p9E2Mie-BhbJ1suFO901OVPeZHpLgDFVD6NJyX35nDJLLDMi4K0lwSScf91ZoRovSoIQ/0JZtdcPQZNUksmlwF9lWaAjvizBY_sopIQXBoDtb6fA)
Trivialy,"Brazilian producer of dairy products like ice cream and yogurt, offering vegan options",Plant-based,Dairy,Diversified,End product formulation and manufacturing,"Milk,Other dairy,Cheese",,Soy,Latin America,Brazil,,Viamão,https://www.trivialy.com.br/?fbclid=IwAR3VY_kvUhKRcXF1RPyaypAwnAv5uuFzzX96FRqHBBzqpZraA2bfUHtNhVE,1995,,trivialy.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/fiYG5vtUa__4Yi2EQ0blIA/LxqS7FyQngh5aJA-ILMQiLSc3UPmqmZTlMf2BR2s4F8dIf8Im53Ol35cdSWzfvGW_poIklRlEuXSo0RH1QHoKVhqJCvnKTT_iHgraNm9_1hf0V_LVN64DkZKDQfZ58f02OpDwe5cDKtpdFKJ8AwyJw/rzBTsMdvfC4iEMlSwZhSY13uoN2wlf4dp1hnTYDmMgM)
Rügenwälder Mühle ,Germany-based sausage makers that offer numerous plant-based options. ,Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,"Beef/veal,Pork,Chicken","Soy,Wheat",Europe,Germany,Niedersachsen,Bad Zwischenahn,https://www.ruegenwalder.de/,1834,,ruegenwalder.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/V9fIq5rjDea0BsnkjeJyLg/DjDLIyoFQxRlj96lzfwH2igYqQsXS01SAGkq2jbM9czqiywny0V2rgUsNUUdiMS_u1HWheJBurcekJFtWu6JuuNlDmpmRF0SevwJPOK0kubxXuLkoXotfREjlda7vQz45KzGlD6p7xCF9ZHZJ_cSKw/Vu2vygBfRa7Kbtiu0g_8MAMQpiyUhXH51NUWUZHoW1o)
Veganz,"German producer of vegan snack foods, frozen dinners, as well as plant-based cheeses and meats. Acquired Happy Cheeze (brand Dr. Mannah's in Oct 2023). ",Plant-based,"Meat,Dairy,Seafood",Diversified,End product formulation and manufacturing,"Cheese,Other meat/seafood","Beef/veal,Chicken,Pork,Fish","Soy,Wheat,Pea",Europe,Germany,Berlin,Berlin,https://veganz.com/,2015,,veganz.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/azN9Pk-I-AbTpqOrrSMUbw/xRggxYWClFXEpVTytIbw9ixUsSn48IJ4-8M2UYhpbph20uil0x8S4CODx9icWb55L-QRXHDAQMBchqWISbrOrEFscG9VzdIpH8ushlYRGB_6xYof0uVTVcKTf9fE9MUeyoa0UCg7owp_wQKlRjd4tw/-bEYvBDNGwBQyROaT80D1KblVk338O3rbevLNfRJ6yg)
Arche,"Germany-based producer of a variety of European and Asian products, including jackfruit and seitan.",Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,,"Wheat,Jackfruit",Europe,Germany,"
",Hilden,https://www.arche-naturkueche.de/de/,1985,,arche-logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/kWT5Jdmi6pwRvBEg43t-2g/gfAght-uLISVkBUMnw0tCcWDlc60Vh405O2uKAVBWT6BoMOx1QQ4Rm2eAy7nNtFlXZbRki4Q-9Ed2U7GIDFiY9NiEOPhlRT2tPwyRw0qLCBBiMxFSgXA2Ej5O9teJvJvGU2DawtfSqwc3CI0QobbMQ/Wya2IjJ7yt6W4lamoWfJxo9wtyBjFZ-SWgn4oyjq3tI)
Natursoy,"Spanish company that produces various organic products, including plant-based meats.",Plant-based,"Meat,Other",Diversified,End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood","Chicken,Beef/veal,Pork",Soy,Europe,Spain,,Barcelona,https://www.natursoy.com/,1988,,natursoy.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/zp_C-4wkJXxBrajKVB3TXA/35ZBKD_-Hs4qLthl2syc5xI5LlmfMiAKmm55_d07_VTUv27JBpWD3hGA5szI4XM-qkv4AAPOoN0JYI8l0hNCGSgyTRepAVabA1JB1fBRlDkFLUWHs1DkS0PSOYRbkrO7yujKhQcHHX4B-ZSXbLr-HQ/d3d_cN929xXgZQfMgGhTM_6LZ-eABT3qXP_AUjk_DYE)
"Karuna
  Vegefoods Company","Indian producer and retailer of vegan and vegetarian food products, including a variety of plant-based meats, cheeses, and milks. ",Plant-based,"Meat,Dairy,Seafood",Diversified,End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood,Other dairy,Whole muscle meat/seafood","Beef/veal,Pork,Chicken,Shellfish,Fish","Soy,Wheat",Asia Pacific,Japan,Aichi,Nagoya,https://www.karuna.co.jp/,1990,,karuna.jfif (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2pIZzpZgzUGrZPOiNf1M3Q/luOAvGMigwXddiRUhvkNx8L_ryAFPoDTDJGKKFVzZZTmxOhkj3Qx6djSqfEtBFI1d6RDVEBXx6l2DCMh7tJtcNBLGWcN2jptu5-gYdbVbuBN_OcWd1KPUUFxZW2BtshKL1lnGLyprg_QGnjNngjIRA/ae80-LdsOMQJMCGKXRj-KsLW3VI6lFxj9-pWegu71kQ)
Sahmyook  Foods,South Korea-based company that produces plant-based dairy and meat products ,Plant-based,"Dairy,Meat",Diversified,End product formulation and manufacturing,"Milk,Ground meat/seafood",,Soy,Asia Pacific,South Korea,,Chungcheongnam-do,http://www.sahmyook.co.kr/,1978,,sahmyook.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NSyspQscKxF5wM92A-ATKg/sCXBYV9Fl9rjtc5WGML4ou5i_pkI9B3iOrNNwfj-OSMUNZkfFJrWVVrvMYmym-6Sq9pr75PFX5KdIsK4R9tip3wXI7B3JwT0vXjuugibupr7f0ZMD09Bm_ll8VNXAb2sGsTqUyAF5Cxl_D74GUi5RQ/JY9MwE7BrQIC6HiCKVF-K3S-trP3eQm8HFuDYT4xv80)
Golfera,Animal-based meat company in Italy that has a line of plant-based deli slices and plant-based burgers.,Plant-based,Meat,Diversified,End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood",,"Soy,Wheat,Chickpea",Europe,Italy,,Lavezzola,http://www.golfera.it/?lan=1,1960,,logo (4).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/5HyuwDQWBigZf4j598GgIQ/FXCuJJcKC4TpKqRkiTmHEI3l51MiAqpMBT-BWGZJdEC92KzsQtljZe0p8_X_6eFd3B0KNwkW_O63XdHIUfLGsqt-vjWhR8R5Om-XEb7PVu08aKxETE3aEOTwMZtSwPKuYKn-NJbW8MmmbNVeWI2cLw/F-SKtCQK-bi1KI5bz7lTbioofsqzVQsWU_yNR-p0H9o)
Marusan,Soymilk and miso maker based in Japan.,Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,Soy,Asia Pacific,Japan,Aichi,Okazaki-shi,https://www.marusanai.co.jp/en/,1952,,marusan.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ylEVPbRXbuSO2KRSKi3hIQ/bh9EYpNa98cjsVN09biWdSGOVgEJGkHY9FlTjTrc-CfH4Dg1T2Ij-7oQQqjbUUE0D-ipU3Pz5yo2ReZoiLhhni_YuslkAmEiZUbOSk4UIAFvxuUNrqnV4G1Cyo7Ks5L1tlSWeNHA9i-zX1vwS96xGQ/3733IeF_O3hJjycCIEWVcRzH-Z28cStuq_6G5DctVUY)
Free and Easy,"UK-based brand of various plant-based foods, including plant-based mixes for egg replacement, gravy, and cheese sauce. ",Plant-based,Other,Diversified,End product formulation and manufacturing,Other,,,Europe,United Kingdom,,Billingshurst,https://www.healthyfoodbrands.co.uk/free-easy,2006,,Logo_banner_f&e.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/AMqCTntgXxJcLLLmAVOK2w/71p99ESf2bQLEwGAwvwvQVu3DSeUMoQCz1GiC6CA-ywKLc9TNIpmeHCzjhS6hSd4ZSHuOatmtO89ZuY-f4VE5hOTChDCxWv0NOTsre0FPNduGch9C9yOgn2osS-FAup6EJc5UIxoOPjkFv3HKFhC0A/CrvQ-YOZYlxNIJdYaFTRg09f6NUyD1dHKkZFkSY75ng)
Artisan Grains,"UK-based producer of a variety of healthy ingredient food products, including veggie burgers and nut roasts",Plant-based,Meat,Diversified,End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood",,"Cashew,Peanut",Europe,United Kingdom,,Yate,https://www.artisangrains.co.uk/,2012,Sam Jacobi,Artisan-Grains-Logo-1.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/4powQCtAmnGPZ-YBxaemMg/1WNxEa8GKO8MX1TVaNguTqryw394HXKjZJlGNajb2_muNQOlCVidAruzleCut0kz2WFfTSfy35MHTd7ywxLWjf4__kIzpCaQspdoktzRBy7g_k6LtMCquUneql3MFmFkaQFVp-h-41pYQzJLBJKZyUgWxPS44kePn0QXxyiQ20I/f56AykHvByuUvAuOCKJB0wDWTgcg090695MCMaH5fBE)
"Health
  Sources Nutrition Co.,Ltd.",China-based company that produces health food ingredients. ,Plant-based,Other,Diversified,End product formulation and manufacturing,Other,,,Asia Pacific,Mainland China,,Heifei,https://www.health-sources.com/,2010,,rBQBG18npfKEO-6SAAAAAApnCnc032.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/zTls9ToTWXNwy5ll4qqJIA/PtDGdWWe_4HKKoIaqUa5HO69hlW4Fm6nvnJIO_67Nqnjy3n2DVuBN8iOSNUi-ah6rXnc5kSZhxMgOGf6Xs7VyHBVxPfrYKzlBOg5h5PRSJYkLxvoJYFzI7fvCF2O8jE0slbOjGooT2QTtf9wLnJPPrQhOxfmS4YlBSdmaOeNChk/veiMUUQU6N8whRsZeOSkhFCRcTjuxXnS9Hd06qpPTCw)
Plamil,"UK-based company that produces variety of products, including egg free mayonnaise, dairy free chocolate and carob, and quality alternatives to milk",Plant-based,Dairy,Diversified,End product formulation and manufacturing,"Other dairy,Milk",,"Soy,Oat",Europe,United Kingdom,,Folkestone,https://www.plamilfoods.co.uk/,1962,,logo3.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/JSPZjzTlfPP9GBcuGkJTrA/B9sDBtCkhd_uEn91tkoyFQQ40s9lv9JzI8oE3Zc6jkatUi9HrgUZ_q0XyJT3x2-gf2x_wJhyupFj7N4DK5UtPR2oTGjwXHYFOfDvS_ExiFbZgmdm6dqQi2X_2t7scz6mGLXveCA4_6VX9SrRRKwacg/K58r_gZ83BuuHDedzsTziLKi1Y01omFV-BNGvIeo-NQ)
"Suomisen
  Maito Oy (JYMY)","Finland-based producer of ice cream made from clean, organic ingredients with vegan options. ",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,"Fava bean,Coconut,Cashew",Europe,Finland,,Aura,https://www.jymy.fi/en/home/,2014,,suomisen.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Z5GaEm3FDewZQXuQZHmNEA/Bslh-1jBc_WERM8aunUg_qIdOB_Y0UkvNxgj78n8dJpqHBYMgwSpfOjoGfvdzC75Xxr9cEG5EwUNs_zbMRHZg-NmIND3p2fjb9WnNnb2v9EmRm-yNDp_ZUOgK4WyFWDn0EuV6OXqH_-6GsKeIr1jbw/M8J_rcn2S4f715tV-s-mm7rXFeGvGJYcrPE4XV06HwI)
Emmi  DessertEmmi Dessert Italia S.p.A.,Italy-based ice cream brand that offers some plant-based options.,Plant-based,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,,Europe,Italy,,Gattico,https://www.emmidessert.it/en/home-2/,2018,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/gkRdfRgu0KnNxXpT7L16zw/NYNECclPVG85s_k-zLlB2Q1whMJfyrLddRo8gv92dzzDStXeORV5QNhEq7c82I0UZkyafKf98HbNubCIzult2JhtCTr58mfGQZIuSqK-Nuz2RanB4F2mDi-jDmalaXy98rWCVOZL7SZDOelSpts6lA/LWeROmru16ehfKpIS-9VJJyjk8A1Ih_TsO1dVU--0vE)
"Rude
  Health",UK-based producer of snack foods and plant-based milks. ,Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Oat,Almond,Soy",Europe,United Kingdom,,London,https://rudehealth.com/,2005,,rudehealth.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/H9_HqC5fYmqYNoK_sJ9kXQ/rXU597te73mgj8Lr-xiEm7RifisnYjN0tdZ6xkKekM4LVwzdTw1_D7g_mNZomjb6Tcs9o-wZ2j_OUNHnvWfu1NNU-2mqvcdM8IvNiVeTt-iUo7NsCT-OBXyMB-bAAQFJvDMR-3pLiOrnM5UUbe3mhg/2NcXQeCq1g_nUoTRI7PnsGYwB-ymJFxMKXs-Dn794QA)
Granovita,"UK-based producer of plant-based foods, including meat-free pates and meat-free canned meals. ",Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,"Duck,Beef/veal,Pork",,Europe,Germany,,Founded in Friedensau,https://granovita.co.uk/,1929,,granovita.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/9PSlZSsEL0Fg-hMNB1a7jw/eScfEeVFqJrGSH-qVvd1WocexEA4rDiHIpOyIJYdlt5wkAFQrL5rgBN3UWUCE8MJ-V_5wlqcjsJBFjqMDOIutmS38I0AJgw1XorYlBia27NSnlMRG1Ekfhi2eK-9oPIGoZhz2GhlaTns_F_bqhynlA/wmEeR6PCcp-W_feogIMDUQxDxcqDUNwTyWO0U0rDMBg)
"Just
  Whole Foods","UK-based producer of a variety of plant-based foods, including two dry mixes for burgers and sausages. ",Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,"Beef/veal,Pork","Soy,Wheat,Rice",Europe,United Kingdom,Gloucestershire,Cirencester,https://www.justwholefoods.co.uk/,1989,,Just_Wholefoods_Logo_Black_350x.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/yqcqvRWIgWYiE2L7Z3XGRw/ktWN_yO6exIwKa98imjovgWsPMJO0kdl4uFCS0Un9ssW4iT_W7AQkdDj3ACQPM4Hycv1-3Y8BKZlRkRMspzKttHMrktlhlzGWoNNiR2XKySMyyCxZT6LnTBoZHZUot7rCK4n1sn4RfkWnYbB5WywdBz_lvIRyFQ1kJYHjHovCtk/83zE4l56KkkV5RcCTH1e7WwTdcMp-NJROzmG9xXROX0)
Jia Jia Wang Trading,"Singapore-based producer of a variety of vegan and vegetarian products, including soy-based meat and fish products. ",Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,"Beef/veal,Pork,Chicken,Duck,Shellfish,Fish,Mutton/lamb",Soy,Asia Pacific,Singapore,,Singapore,https://www.jjwint.com/,1992,,jiajiawang.jfif (https://v5.airtableusercontent.com/v2/24/24/1704348000000/wL0FTOh180k5YGleOrz5zg/athts5CFioEvjr-ulGi591VJ8rcBvnSFZlQKjC_0fSjCYD_G5CiS5e9nKQzRuA0kLqYYtwXef2Za8bb05_mw4mhD9aAphaK6k-0v26wRJguXlIdLxbCwtwNmPL8SuRDEfPYoE_VYRbvIvmCcfsrAVw/71WyCLFwM20xi-eMTON0tEPJtIiJqBM0soFQijhTdAg)
Airon Sabor e Saude,"Brazilian producer of vegan ghee from non-deforestation palm oil, in addition to sweeteners, seeds/grains/ and snacks. ",Plant-based,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Palm,Latin America,Brazil,,Ribeirao Preto,https://aironsaboresaude.com.br/,2015,,Airon.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/PpDZyHvIwda0yJD8Be6fFQ/KP00LzfFUGnpv71ZGeNpJjdu0JXyD80CP95lIYqfqNeTyGbhbLxx1vTL1RMR75HEAUTZbZKz0ShqQOwG2kMrj1NufPSw9ZGEeU8Nhpq16-GV19urQGOgGxchbEUYlpfIHWgtYxaxz0z23eGXvR6bRg/FiPn__JKCf1z_gy5mWT6ljeou-uo5glKNq1RWddFyVY)
"Céréal
  Bio","France-based company that produces a variety of plant-based products, including soy-based milk and meats.",Plant-based,Other,Diversified,End product formulation and manufacturing,Other,,"Soy,Wheat",Europe,France,,Revel,,1936,,toplogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/4r5nTugPrPRmrd86fhHghA/NRgRRpJSEHK88rdedqEGzlwNJ6LRwAkf2UDx6mc52GLs_117nd2xdOSsVQm2Sjua8ADnMVucryf9nN4vFjumFqJNVGqRlyeDXu2dYG38I3bI9dfs6gzRCoqe5-OkHGK3lrQ9-FMGadIBiK7I6dAN7w/s86ATtA_lYSQtF1AsGxhPcZa882mHRgUY8zHwZFWjsw)
"Riso
  Scotti",Italy-based rice company offering line of oat milks,Plant-based,Dairy,Diversified,End product formulation and manufacturing,Milk,,Oat,Europe,Italy,,Milan,https://www.risoscotti.com/,1860,Pietro Scotti,scotti.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/YlZTcQGnEVLD5qQQbXT_2g/WbNM_3fr4zWSAgzA3Ud0-gSn7qPMUCm0Njgc1jnNnXOV6VPE2MpUyUQcJV4xzSbmbWst0P1zO6AjB593obP-6_nv53KVw30Cq6KtHNa8gGeXwhdgarz3oEX2MpvixkBxQV3sY3l0uf4NobuBqJJiBQ/Vx1RDN08rCpG4E41uiBNttqYr5q-OFpWwsjijMJ8yA4)
Ulrick & Short,"UK-based ingredient supplier, offering a comprehensive range of clean label, functional native starches, fat replacers, functional flours, bakery glazes, phosphate replacers and proteins from a range of crops and cereals",Plant-based,Eggs,Diversified,End product formulation and manufacturing,Eggs,,,Europe,United Kingdom,,,https://www.cleanlabelingredients.com/,2000,,UlrickandShort.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Oy0cuyGR5lF-eTdfRw0BIg/x2kLJ5oOPG-4-6VtasZo-Q0L1by25qieBABBOJsbArQDbMNcosoAloXUhZzrivHJNGr112lYsi_OKchVtukYdW3vzKzCe8bq4cRn2k2977T8-s-TISE_wfqpoOsZo7M-oocIjEAGloEO6xieg1poAg/G4_0aVfRh5lZ2pAfHM2tq3-C6n4MxcxnIMbyG4pNVtM)
San-Iku,"Japan-based manufacturer of a variety of foodstuffs, including plant-based meats and milks. ",Plant-based,"Meat,Seafood",Diversified,End product formulation and manufacturing,"Other meat/seafood,Ground meat/seafood","Beef/veal,Chicken,Pork,Fish","Soy,Wheat",Asia Pacific,Japan,Chiba,Sodegaura,https://san-iku.co.jp/,1970,,saniku.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/kzSOz9B8ww24sjMSCcvI0g/92Na7wifUFv5gfmPgjjpdUikbqoJnzhLsSmg06fjPs_z5WvxtRp6dSXJ_j1fGgJDXZAy8xUpDl9J9Yz6jTH8w7p-UBt1vi6E0ZsBaWtCY1PXKCm9En0Ci9yrZHUNs8-EuKCj5XZ6adWh7MzwMQs1HA/UryXMJNdb84lUJZvkoK8-hhMbCYm0gFMdIZ6S2KhBsE)
"Sharaf
  Natural Foods",UK-based producer of gluten-free and vegan products. ,Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,Beef/veal,"Pea,Corn,Rice",Europe,United Kingdom,,Cheltenham,https://sharafsfood.co.uk/,2008,,sharaf.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/4D6vqV1s4q2DkYEvxfXUgw/uKL279KoqrK_4qKMq2dRlDbynvJlti2oJCnRGhKO7o7GXZFcT5dm1xXLZr8UwPbT8mEUazvDNk5zuXPKBUtV2NDJpJhaA835-gZ97wA33OmrfaHUFr_8Z1BA9zMRQuqqUcP_OW5O6XjYcIksc0yQSg/teX1H4uXaLhmY43qrSJt9sGeWtZhNKU8G1bpyHx0AuQ)
Wicken Fen,"UK-based company that produces a range of frozen vegan and vegetarian products for the food service, retail, and wholesale markets.",Plant-based,Meat,Diversified,End product formulation and manufacturing,Other meat/seafood,,"Soy,Wheat",Europe,United Kingdom,Suffolk,Alpheton,http://www.weeksfoods.co.uk/,1914,,weeksfoods.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/phCVWxDhjTsHVbAfHzUipA/N5Q2STJpayfHsJzBRJP-aFA8WriWiwzNe_LEb6PyRAHZ4HGajsHw1Tss6jxWVjNjQbfN1vlubOu5C79PWz3pPzBmqeKBcKReVViuHU2nRfIPm9mb9ibDDfxsrZNwhYim6MPervHUM1uEn5hBC4tl0A/l1SFIJ7k_XCjCmexoXw7CpM1FDzlpMhQH5iUYb4TfFA)
"Valio
  LTD",Finnish brand of dairy and food products with a growing range of plant-based products made out of oat and simple ingredients. ,Plant-based,Dairy,Diversified,End product formulation and manufacturing,"Milk,Cheese,Other dairy",,Oat,Europe,Finland,,Helsinki ,https://www.valio.com/,1905,,Valio.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/DTR-ADrBJ5OqLwGrSdu2TA/cJ_6CNn0aNTbG_w9Ac_Giq5S-uivumnaDl5UKKRJYBUvtyuLuzLPLTF544CRLso1S8-IfqR7VLKCbyAeCCw78eOHbN55b89YnRnxXPVI6o2kSDAePRtJz_tC6aY7pZ1nqvOAF7-sNT8wvqFNEp-V7Q/JjhD7EJ3844s_tSWtOZm5HPljES8EcuWe1TLR-ycSss)
"dennree
  GmbH","German producer of various food products, including plant-based milk, plant-based meat products, and tofu.",Plant-based,"Dairy,Meat,Other",Diversified,End product formulation and manufacturing,"Milk,Ground meat/seafood,Other,Other meat/seafood",,"Soy,Wheat,Oat,Almond,Rice",Europe,Germany,Bayern,Töpfen,https://www.dennree.de/home,1974,,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/tHHzmNpf5QHP7lY9qM-xgA/yZ14rNojeddzTmbadYMZ4weq-CmlThCILS9u3jvW58mEwqXlUIh7cYB4CtaA-UeUyXU49Zhmvf74zotWyPUHqUhAXQ-u3Pkn4V9BbOJrD-qV4tcfgqdv2CFhiV5gbps83xFn6lY-WDXysdVjH1N0ww/-HEvlAtXc-2hxbhm6qqOpLTq0_vpNaUwk0qk9RTOvxQ)
